城市,面积,房龄,楼层,总楼层,距离CBD距离,距离地铁距离,周边学校数量,周边医院数量,人均GDP,人口密度,房屋类型,装修情况,单价,总价
肇庆,112.5,1.4,24,28,7.87,0.8,0,3,72855,1433,住宅,简装,13218,1486525
深圳,79.3,18.8,7,8,6.83,0.94,2,2,89523,360,住宅,精装,49149,3895158
揭阳,133.6,30.0,3,31,0.12,0.1,4,3,41555,434,住宅,毛坯,3959,529109
广州,100.0,15.4,27,31,3.03,2.37,5,1,90615,742,住宅,毛坯,30445,3043802
佛山,115.9,12.5,17,27,2.67,0.81,3,2,94990,832,公寓,简装,22693,2631168
江门,119.4,7.1,28,31,18.9,4.28,1,3,85506,495,住宅,简装,7135,851913
东莞,74.9,5.8,11,34,0.85,5.66,4,0,115071,1117,公寓,精装,24977,1870652
江门,63.7,14.7,1,25,21.84,2.48,3,0,84064,931,公寓,精装,7047,449056
惠州,97.8,13.4,4,19,12.66,2.43,2,1,88662,536,住宅,简装,11066,1082587
阳江,70.6,2.4,28,34,1.76,0.73,0,1,78791,571,住宅,精装,7034,496646
韶关,73.5,0.4,18,24,2.18,1.36,1,0,91294,617,住宅,精装,9159,673431
珠海,137.7,10.8,5,27,41.4,0.54,3,0,61624,1019,住宅,豪装,7550,1039447
东莞,66.9,4.1,24,34,70.27,3.47,5,0,72539,276,公寓,豪装,3000,200594
佛山,115.7,4.8,26,31,27.78,2.48,4,5,86795,759,住宅,精装,13571,1569529
梅州,121.7,1.2,12,31,40.86,0.32,4,3,88881,1252,住宅,精装,3000,365229
中山,117.1,14.2,15,34,30.47,4.06,2,1,85504,449,住宅,精装,7288,853673
河源,40.0,2.2,13,33,1.77,7.09,2,2,60891,479,住宅,简装,4922,196892
云浮,69.1,3.0,19,25,2.61,1.41,1,1,85468,751,公寓,精装,5866,405163
惠州,102.2,28.8,9,20,14.06,0.91,4,2,84070,110,公寓,精装,6689,683587
江门,86.3,18.1,2,9,1.82,3.59,4,1,88130,1062,住宅,毛坯,10989,948671
深圳,75.1,11.2,13,26,0.61,2.26,5,0,114213,1339,住宅,简装,75762,5689258
梅州,110.4,10.5,27,32,23.88,5.04,1,3,91094,263,住宅,简装,3000,331206
珠海,110.4,29.1,11,24,15.01,1.13,2,0,65066,1413,住宅,毛坯,13114,1447787
珠海,80.7,1.7,17,28,4.98,0.41,1,3,102207,888,住宅,精装,39313,3172752
广州,102.8,1.5,27,31,19.86,2.97,2,3,84922,504,住宅,毛坯,27159,2793286
肇庆,120.2,3.6,7,19,1.53,0.69,2,0,46411,634,住宅,精装,12980,1560630
肇庆,133.0,0.8,29,30,5.49,2.9,2,0,77198,823,公寓,精装,13018,1731605
惠州,68.4,8.2,21,33,10.78,2.96,1,2,80616,810,住宅,简装,11792,806349
江门,89.3,13.8,13,34,3.78,0.08,2,2,63877,1049,公寓,精装,17452,1559251
佛山,57.4,0.7,2,11,32.88,1.45,3,0,65624,1239,住宅,精装,8997,516149
河源,71.8,12.8,3,7,4.44,0.5,3,0,102539,1128,住宅,精装,7935,569968
珠海,78.0,30.0,11,33,3.5,0.97,5,4,110211,961,公寓,豪装,26622,2077184
云浮,100.2,1.2,13,25,9.85,2.22,3,0,68232,1048,住宅,毛坯,6029,603889
佛山,150.9,1.2,12,20,5.48,5.36,3,1,101602,1036,住宅,简装,28262,4264138
佛山,72.9,5.5,22,23,38.17,1.54,2,1,98116,998,住宅,精装,8028,585640
潮州,101.1,8.4,13,28,6.98,0.17,2,3,102540,1000,公寓,精装,7902,798966
河源,85.5,18.8,19,31,8.54,0.2,3,2,89591,591,住宅,精装,6354,543608
汕头,122.0,1.6,2,12,34.6,1.41,2,0,64385,1189,公寓,毛坯,3281,400291
汕尾,97.7,23.8,18,27,17.76,3.93,3,3,84031,1301,公寓,毛坯,3782,369609
茂名,93.0,7.9,20,20,9.47,2.43,3,2,84719,900,别墅,精装,10567,982496
中山,70.5,6.0,5,22,7.65,2.19,5,1,66908,457,住宅,精装,19310,1361083
肇庆,137.1,4.4,10,31,8.59,0.32,6,3,78952,713,公寓,毛坯,10403,1425817
肇庆,105.4,30.0,24,25,22.71,6.6,4,2,87488,100,住宅,豪装,3298,347706
湛江,101.4,9.2,24,26,1.86,0.94,4,1,61507,544,公寓,毛坯,6225,631469
肇庆,126.6,4.9,13,21,16.02,3.78,2,1,102140,340,住宅,简装,7100,898807
河源,105.2,3.1,8,32,3.65,3.05,1,3,113499,100,住宅,简装,5445,572678
潮州,140.9,11.1,15,19,7.76,2.98,4,3,118199,736,别墅,精装,11845,1669029
韶关,87.5,10.8,14,32,12.0,1.97,6,2,90570,453,住宅,简装,6182,540987
广州,115.5,7.8,28,31,21.35,1.83,4,0,93202,1477,别墅,豪装,64192,7416290
阳江,92.4,30.0,12,22,28.64,0.49,5,2,85290,591,住宅,简装,3000,277260
广州,148.9,9.2,13,34,9.36,1.01,4,3,88789,328,公寓,豪装,40156,5979438
东莞,133.8,9.6,27,31,25.0,0.16,2,6,76885,761,住宅,精装,16739,2239666
广州,104.6,21.1,30,33,32.98,1.21,3,3,99936,479,公寓,毛坯,9759,1020828
阳江,41.2,1.1,15,23,3.68,0.51,3,1,89352,1030,公寓,精装,9493,391228
深圳,133.0,14.8,7,28,23.02,2.77,3,4,59557,879,公寓,精装,32249,4288981
河源,94.1,7.2,27,34,20.0,6.87,2,6,84491,1020,别墅,简装,5398,507858
云浮,108.1,2.3,4,33,10.17,0.18,1,1,82284,1076,住宅,精装,7491,809836
肇庆,120.6,16.8,17,25,33.11,1.53,4,2,90689,849,住宅,精装,5475,660590
肇庆,113.0,30.0,20,34,55.63,0.12,2,1,105433,304,住宅,毛坯,3000,338967
潮州,108.6,1.7,4,27,0.35,0.39,2,2,67083,909,住宅,精装,9128,991330
湛江,109.0,18.9,29,30,3.55,2.96,1,0,52543,619,住宅,精装,4852,529145
潮州,172.9,3.7,28,29,12.93,0.24,4,0,88055,1184,公寓,精装,7934,1371463
韶关,88.2,6.6,22,32,15.5,2.37,5,0,47269,716,住宅,简装,5119,451256
韶关,93.8,0.2,9,13,0.06,1.47,6,1,114302,1043,住宅,精装,13632,1278196
珠海,64.6,2.2,6,13,3.13,1.76,2,1,88622,699,公寓,精装,33622,2171053
湛江,72.4,2.1,5,17,0.37,5.02,3,2,101586,898,住宅,精装,10559,764921
潮州,100.7,3.4,2,5,15.84,3.94,2,1,43979,819,公寓,毛坯,3673,369764
肇庆,72.6,3.9,11,24,7.33,0.46,1,4,63073,925,公寓,简装,10401,755012
茂名,82.0,1.0,16,19,13.21,5.45,2,1,50962,1030,住宅,简装,5254,430907
揭阳,142.8,6.7,12,12,0.39,2.46,2,1,64637,678,住宅,简装,5708,815205
阳江,100.8,9.0,17,19,1.88,4.96,4,1,79871,690,住宅,毛坯,5020,506154
阳江,40.0,5.0,1,10,7.49,6.22,3,4,66617,1040,住宅,毛坯,4947,197881
广州,76.1,2.7,12,15,16.54,6.16,3,4,60378,607,别墅,精装,36534,2780888
揭阳,131.0,6.3,21,22,20.4,2.74,1,0,73277,968,住宅,精装,5084,666237
湛江,111.4,1.3,7,17,9.36,0.71,6,1,86042,1003,住宅,简装,10663,1187775
汕头,116.7,6.4,4,18,18.67,0.77,4,1,79768,890,住宅,精装,7853,916641
韶关,73.8,1.1,25,28,25.83,2.04,1,3,59781,699,住宅,简装,4581,338016
广州,82.5,18.0,17,30,99.61,5.03,4,3,39048,641,住宅,毛坯,3000,247451
佛山,140.2,24.5,7,9,8.22,6.01,0,2,71826,471,公寓,简装,8673,1216306
广州,63.3,1.8,10,19,28.42,2.86,2,6,87817,1129,公寓,精装,22990,1454257
汕头,114.1,0.2,30,30,45.25,2.17,5,1,56107,1086,住宅,毛坯,3000,342187
深圳,135.2,6.5,29,32,0.67,0.92,1,1,101779,982,住宅,简装,80280,10850680
茂名,40.0,3.2,28,30,32.05,0.35,2,4,51650,792,住宅,简装,3160,126431
佛山,82.7,8.0,27,28,4.55,2.36,2,5,84419,789,公寓,豪装,22992,1902373
茂名,106.9,0.2,6,33,2.92,0.11,3,0,107980,387,公寓,简装,9790,1046922
广州,72.9,2.6,8,23,19.99,0.56,3,2,79818,1145,别墅,简装,46748,3407591
韶关,98.8,2.7,10,14,0.47,0.19,1,5,55169,1076,住宅,简装,10391,1026463
汕尾,73.2,0.3,28,30,6.03,2.56,4,2,100904,831,公寓,精装,9496,695064
阳江,107.3,4.3,19,22,33.83,3.1,3,3,30000,799,住宅,精装,3000,321781
汕头,73.1,1.3,3,29,10.63,0.84,1,2,97736,301,公寓,毛坯,6505,475570
汕尾,110.6,6.2,5,32,2.0,1.36,1,2,84431,613,住宅,精装,7351,812811
揭阳,81.8,9.9,29,32,13.05,0.36,2,2,78950,585,住宅,简装,4442,363592
阳江,131.4,2.2,1,9,0.37,0.58,1,4,39709,727,住宅,简装,8762,1151145
肇庆,83.3,3.1,5,29,2.48,0.09,3,3,62221,316,公寓,豪装,13160,1095751
佛山,77.9,4.1,24,28,33.21,4.92,2,2,99325,851,别墅,精装,12106,943586
阳江,44.1,30.0,2,8,0.09,1.99,3,0,87174,1010,住宅,毛坯,4141,182683
汕头,106.1,11.5,21,28,48.26,0.12,0,3,127334,516,住宅,精装,3000,318215
梅州,79.2,1.1,18,29,8.42,2.51,4,4,77048,1059,公寓,简装,6954,550473
汕尾,76.2,5.4,23,32,52.48,3.96,2,2,71754,691,住宅,精装,3000,228605
深圳,107.9,3.2,24,27,5.76,0.81,5,2,74198,753,公寓,豪装,66237,7148207
潮州,97.4,2.3,1,13,60.46,1.29,1,3,122247,744,公寓,简装,3000,292143
潮州,77.8,4.9,6,29,5.17,1.44,3,4,70601,233,住宅,简装,5530,430530
汕头,60.4,0.9,2,24,17.54,6.05,3,2,58316,865,住宅,简装,4304,260158
汕头,108.9,0.6,23,32,7.19,1.84,2,2,79426,1153,住宅,简装,11933,1299370
惠州,147.7,6.2,16,16,1.86,0.33,4,5,67138,823,住宅,精装,23537,3475872
佛山,76.6,6.9,22,31,16.49,1.55,2,4,72243,878,公寓,简装,14286,1093854
揭阳,94.2,8.6,26,27,17.38,0.8,4,1,30000,995,住宅,简装,4228,398280
惠州,43.7,4.4,17,17,18.63,0.95,3,7,92561,832,别墅,简装,18871,825054
茂名,98.3,8.4,21,25,18.82,7.39,3,1,50444,600,公寓,豪装,3935,386885
肇庆,100.4,3.9,15,25,5.89,1.95,2,0,116978,1442,住宅,毛坯,15262,1532169
韶关,102.3,1.0,26,34,11.16,1.81,4,1,97268,814,住宅,精装,9990,1022456
韶关,125.6,6.0,5,8,63.09,0.15,4,2,71188,1090,住宅,简装,3000,376734
肇庆,110.1,1.7,4,16,4.01,3.85,4,1,83710,1165,住宅,简装,13761,1515788
阳江,74.9,2.0,27,28,8.59,5.95,3,0,93907,674,住宅,精装,6174,462618
河源,139.7,1.0,11,20,7.91,4.67,4,4,114762,645,住宅,精装,8361,1168171
惠州,114.4,10.0,3,4,19.69,0.38,6,0,79585,613,住宅,精装,13083,1497112
梅州,118.5,20.0,28,30,3.67,0.23,1,0,52038,250,公寓,精装,3523,417615
汕尾,99.8,0.9,19,27,6.76,0.18,4,1,109685,1277,住宅,精装,12437,1241133
肇庆,122.2,2.2,18,28,23.95,0.57,3,0,63515,906,公寓,简装,7460,911867
中山,41.9,1.4,7,27,9.34,1.48,3,5,85881,981,公寓,毛坯,15609,653830
广州,101.4,2.6,5,16,17.85,0.78,5,1,72539,1089,住宅,精装,42054,4266173
阳江,59.6,18.1,4,7,23.39,0.54,3,3,54584,642,住宅,精装,3068,182929
肇庆,79.4,8.7,22,30,20.12,6.5,2,1,58582,678,住宅,精装,4735,375947
惠州,51.9,3.2,23,24,5.93,2.24,2,0,91021,708,公寓,毛坯,12766,662603
梅州,72.4,0.6,2,29,13.0,0.54,1,2,109522,708,公寓,简装,5977,432906
梅州,97.2,19.3,21,27,21.77,1.7,4,4,51889,286,住宅,简装,3000,291677
汕头,49.2,1.3,22,24,5.26,2.36,0,1,116072,433,住宅,豪装,12114,596452
清远,76.4,5.1,2,15,0.24,0.68,4,1,101787,550,公寓,精装,10688,816372
汕头,92.7,7.4,20,21,32.37,2.92,4,2,125617,593,公寓,豪装,4282,396897
佛山,40.0,19.1,24,29,33.33,1.0,6,3,79418,1089,别墅,精装,11899,475968
佛山,123.7,0.7,18,27,3.66,0.25,5,0,88708,788,住宅,精装,34778,4303218
肇庆,121.6,4.0,21,32,12.13,1.01,3,2,53071,1287,住宅,简装,13973,1698612
茂名,98.0,4.6,5,11,32.86,0.91,3,3,97931,337,住宅,精装,3510,343838
东莞,72.6,30.0,14,32,7.45,1.34,2,3,95628,581,公寓,简装,11672,846951
江门,83.8,12.3,27,31,4.11,3.97,4,0,111309,877,公寓,简装,11808,989906
潮州,110.5,2.6,26,29,31.47,3.62,4,2,92584,1005,住宅,精装,3295,364185
河源,129.3,3.2,20,27,14.34,0.15,7,0,71643,287,住宅,简装,6660,861309
肇庆,131.2,7.2,10,19,2.3,3.87,2,1,72869,1181,公寓,精装,12013,1576467
江门,76.7,0.8,20,24,27.23,2.29,3,2,88572,890,公寓,精装,8157,625467
惠州,84.2,30.0,28,34,37.3,2.87,3,3,126881,1205,住宅,精装,3316,279339
广州,85.7,1.7,27,34,6.6,0.69,5,0,117688,1117,住宅,精装,60490,5181486
河源,84.4,7.3,15,15,2.36,0.01,3,1,83744,330,住宅,简装,7676,647582
佛山,91.3,3.2,6,8,6.35,2.24,1,2,84797,675,住宅,简装,20437,1866572
云浮,90.5,0.8,10,34,4.63,0.39,5,0,89599,923,公寓,毛坯,6612,598380
河源,116.4,5.3,5,14,3.56,6.1,3,2,65399,434,公寓,简装,4928,573405
汕头,82.4,3.6,14,20,5.82,1.04,6,0,86713,550,公寓,精装,7958,655814
广州,48.6,14.4,2,24,3.19,0.62,2,1,96654,808,公寓,精装,35619,1730373
潮州,97.3,9.0,9,18,22.81,1.22,4,4,84740,1280,住宅,精装,6381,620834
肇庆,108.4,7.0,11,13,5.04,3.13,3,1,98594,913,公寓,精装,11684,1266071
阳江,114.2,1.1,12,28,13.85,0.68,2,3,93100,641,住宅,毛坯,6381,728676
云浮,129.3,4.2,2,32,36.3,6.95,3,2,112584,797,住宅,精装,3000,387838
阳江,54.3,4.4,6,16,1.1,0.81,0,2,72605,1220,公寓,毛坯,7720,418953
江门,70.9,0.4,2,30,4.23,0.41,5,3,135064,1010,住宅,精装,20752,1471221
云浮,99.2,6.0,29,33,14.1,3.05,4,1,68278,1099,住宅,简装,4737,470111
江门,96.5,6.1,2,20,10.12,2.29,1,5,102837,1269,住宅,毛坯,12329,1189339
茂名,108.9,3.6,18,19,35.92,0.7,2,2,100937,538,公寓,豪装,3000,326602
揭阳,88.9,19.7,12,20,18.71,0.21,3,1,65901,1110,公寓,毛坯,3425,304561
云浮,138.7,0.7,7,21,6.01,2.62,5,0,70704,961,公寓,豪装,7803,1082490
江门,87.8,1.2,25,27,11.28,7.39,3,2,76046,1177,住宅,简装,11712,1028183
珠海,52.7,2.2,8,9,9.55,2.2,5,4,67933,1038,住宅,毛坯,25320,1333373
揭阳,129.7,0.7,22,34,8.58,6.76,1,2,68182,982,住宅,简装,5512,714689
惠州,164.9,0.0,30,34,6.28,6.32,1,4,30000,802,住宅,简装,12161,2005576
韶关,107.5,4.8,13,19,5.81,0.03,7,2,39129,1067,住宅,简装,8343,897027
深圳,59.9,0.3,4,28,5.24,4.02,3,5,52576,763,别墅,毛坯,70053,4197876
湛江,87.5,1.0,28,28,5.29,4.72,2,1,80281,1265,住宅,豪装,9998,875063
中山,72.6,7.1,27,34,17.08,1.35,3,1,69315,1067,住宅,简装,15187,1102381
深圳,40.0,12.5,11,16,3.44,0.0,4,3,75601,704,公寓,简装,54415,2176617
东莞,118.3,1.0,10,28,14.07,0.84,4,2,70404,874,住宅,豪装,30985,3667146
惠州,107.6,25.2,20,20,7.95,2.3,4,5,68608,781,公寓,简装,8528,917725
梅州,114.6,2.0,18,21,13.59,0.03,4,3,101400,727,公寓,精装,7607,871512
潮州,70.7,13.5,6,31,3.77,1.4,3,5,63891,1527,住宅,精装,8562,605402
湛江,50.7,22.8,14,25,15.66,0.02,3,6,86209,702,住宅,豪装,7200,364750
揭阳,97.3,30.0,22,24,10.93,0.99,6,0,90806,429,住宅,毛坯,3426,333324
韶关,69.2,2.7,21,24,52.89,1.01,5,0,75550,475,公寓,精装,3000,207679
云浮,75.7,0.5,23,34,5.68,0.02,0,3,113173,1297,住宅,精装,11256,851625
广州,68.0,3.9,28,30,13.45,3.88,3,1,73771,1116,公寓,简装,24005,1632130
东莞,118.5,1.4,28,33,9.85,0.73,4,0,99613,713,公寓,毛坯,19063,2258794
惠州,121.8,30.0,7,9,22.53,0.84,3,2,57048,785,住宅,毛坯,6171,751638
中山,138.8,16.3,8,19,8.54,7.33,2,2,109523,572,别墅,简装,21059,2923418
云浮,121.2,0.1,24,31,2.26,2.18,2,3,108819,844,住宅,精装,10241,1241238
东莞,99.7,0.6,18,22,0.48,0.25,5,3,96973,782,住宅,精装,40819,4069814
湛江,119.1,10.4,20,29,1.15,0.01,3,2,62451,1231,公寓,精装,10276,1223483
东莞,128.3,1.9,11,15,50.24,0.62,3,2,67795,811,住宅,精装,3000,384828
揭阳,94.9,3.2,7,27,0.67,0.07,3,1,66887,1342,住宅,简装,7817,741837
江门,40.6,1.2,4,21,5.87,3.99,2,2,106105,1023,住宅,精装,16063,652547
东莞,126.8,5.9,25,27,4.4,4.76,6,3,100533,858,住宅,精装,25990,3295086
揭阳,80.8,4.2,13,25,2.8,0.08,3,2,73571,742,住宅,简装,8585,693993
肇庆,93.4,6.8,15,22,4.37,3.33,0,2,91184,941,住宅,简装,10286,960880
东莞,96.9,5.0,29,31,4.16,0.38,7,1,81543,700,住宅,精装,33479,3245323
湛江,58.3,30.0,25,26,20.89,3.13,3,2,81067,947,住宅,精装,3972,231665
广州,108.1,0.8,21,25,0.78,1.3,1,2,116385,995,公寓,简装,57906,6256869
汕尾,62.1,1.4,9,21,24.66,0.64,3,4,54731,714,住宅,豪装,5743,356941
潮州,101.4,16.6,10,11,24.49,2.45,5,5,106030,837,住宅,简装,4097,415514
潮州,58.8,2.7,15,30,3.18,2.0,6,1,83447,928,住宅,简装,8750,514432
东莞,108.7,4.2,26,32,31.19,1.63,2,2,66472,1012,住宅,精装,12588,1368163
汕尾,98.2,8.2,9,9,20.51,2.08,3,2,64065,349,公寓,毛坯,3000,294551
清远,105.0,14.3,4,6,15.23,0.73,7,2,86531,476,住宅,精装,6533,685986
肇庆,119.1,3.8,4,12,1.95,1.57,3,1,98378,507,住宅,简装,12289,1463686
潮州,40.0,3.2,16,22,18.7,1.08,6,1,74723,325,住宅,精装,4949,197969
中山,76.8,1.1,20,24,6.73,0.5,1,3,64587,665,住宅,精装,22386,1718715
广州,115.6,3.4,28,28,35.73,7.99,4,1,63955,1377,公寓,精装,10069,1164413
河源,108.2,24.6,30,33,17.49,2.81,3,1,49300,328,住宅,精装,3000,324461
潮州,74.9,5.5,1,4,17.64,2.19,1,2,86788,668,住宅,毛坯,5267,394648
阳江,89.2,6.9,28,30,13.84,3.8,0,2,77027,634,住宅,精装,5410,482830
中山,92.4,15.7,24,27,24.16,4.38,3,5,115552,513,住宅,豪装,11517,1063715
深圳,120.9,1.6,9,16,6.22,1.96,3,3,56425,1053,公寓,豪装,88184,10657558
东莞,127.1,2.0,15,22,3.07,3.38,3,3,77351,1117,公寓,精装,22976,2920964
中山,57.3,6.6,6,33,20.52,0.99,3,2,48762,439,公寓,精装,10044,575053
韶关,75.0,14.2,25,27,0.1,1.98,5,2,72924,636,住宅,豪装,8394,629231
潮州,66.3,1.3,14,17,13.61,1.17,5,1,48148,728,公寓,简装,4936,327082
汕头,42.9,30.0,17,32,39.56,0.41,4,2,88185,711,住宅,精装,3000,128633
广州,118.8,5.2,1,9,10.71,0.37,3,3,50976,1055,住宅,精装,37800,4492274
肇庆,70.3,7.4,4,28,29.47,2.87,2,2,74319,721,别墅,精装,6600,464145
湛江,112.2,22.1,20,22,19.15,1.23,5,3,63591,645,住宅,精装,4783,536959
珠海,62.3,9.4,26,33,0.4,1.16,3,3,130322,806,住宅,精装,39219,2444994
茂名,80.2,20.7,5,21,5.58,1.57,2,3,69498,407,住宅,简装,6267,502658
茂名,87.0,3.3,9,26,24.75,0.58,3,3,81519,681,公寓,毛坯,4653,404701
潮州,77.7,5.1,20,24,0.48,5.23,4,2,107200,679,住宅,简装,6769,526078
河源,90.9,7.5,11,12,13.56,13.22,1,2,79030,490,住宅,精装,3000,272778
深圳,70.0,3.1,3,24,6.76,15.95,5,3,96332,956,住宅,精装,19664,1376644
广州,96.4,0.4,16,19,30.82,3.76,4,0,66008,953,公寓,毛坯,12341,1189750
中山,87.9,4.5,24,24,3.02,1.82,2,1,92721,1112,别墅,毛坯,30743,2703642
湛江,169.5,20.5,12,22,2.36,1.15,5,4,103849,829,住宅,精装,9901,1678540
肇庆,149.9,8.5,18,29,4.18,0.84,4,5,69842,907,住宅,毛坯,12555,1882091
广州,65.7,0.4,14,16,55.43,0.48,3,2,100577,1525,住宅,简装,3000,197011
珠海,73.6,8.9,16,19,1.25,0.3,3,3,62134,1102,住宅,毛坯,33716,2482006
肇庆,155.4,26.1,2,8,24.66,6.78,5,4,91909,717,住宅,精装,4074,633098
阳江,48.0,20.3,1,29,8.55,2.42,3,1,95630,1133,公寓,简装,5214,250382
佛山,138.5,8.0,19,30,15.52,4.75,5,3,77736,646,住宅,精装,19546,2706843
珠海,77.9,5.9,6,25,23.93,6.9,1,5,74252,1196,公寓,精装,11080,863676
潮州,78.2,10.4,12,19,6.9,2.15,3,1,113883,700,住宅,精装,9230,721649
广州,40.0,1.1,21,22,37.95,1.22,2,4,68520,750,住宅,精装,12243,489730
阳江,108.8,0.2,19,28,1.65,0.86,2,1,82458,631,公寓,精装,7893,859116
肇庆,105.1,2.1,22,34,7.3,1.23,1,5,88022,1046,公寓,简装,12417,1305120
深圳,102.5,7.0,8,21,9.31,0.46,0,1,74240,719,住宅,简装,49075,5027860
珠海,84.2,2.9,3,4,7.92,0.26,0,3,62236,1170,公寓,毛坯,19908,1676436
河源,43.8,7.7,13,33,7.92,1.54,2,1,88577,831,住宅,毛坯,6311,276745
河源,51.4,2.6,10,14,36.61,1.68,2,1,60390,758,住宅,豪装,3000,154311
惠州,127.6,17.8,22,30,28.0,2.48,3,2,67079,743,住宅,简装,6348,810026
清远,80.8,4.2,25,33,14.17,0.04,2,3,53193,550,公寓,简装,6408,517813
汕头,71.6,20.9,9,24,3.29,2.45,2,2,30000,369,住宅,精装,5081,363714
揭阳,75.7,1.5,1,17,23.89,0.63,6,3,90027,266,别墅,精装,5850,443121
佛山,96.3,0.4,23,23,21.57,3.78,2,4,62025,1459,公寓,豪装,16143,1553978
云浮,43.1,30.0,28,31,7.87,1.64,8,0,92336,798,住宅,毛坯,3848,165676
河源,109.5,9.9,18,34,28.15,0.66,4,1,66848,813,住宅,精装,3941,431758
清远,96.2,30.0,20,29,8.61,3.31,2,2,58811,1216,公寓,毛坯,3439,330802
中山,70.9,19.4,13,18,4.71,0.99,2,2,43731,275,公寓,毛坯,9518,674877
湛江,103.0,16.3,10,26,35.91,2.69,1,0,74626,1220,公寓,精装,3000,309124
茂名,83.3,7.4,23,31,32.3,1.57,0,5,119923,956,公寓,简装,3222,268501
湛江,57.0,27.6,27,31,3.18,2.16,2,0,75326,100,住宅,简装,3861,220169
广州,122.6,0.1,3,15,14.69,0.33,0,1,75833,487,住宅,精装,39485,4841362
云浮,96.5,12.5,21,22,33.07,1.73,5,0,63658,852,住宅,毛坯,3000,289622
潮州,99.0,7.6,22,24,9.7,0.76,2,2,69125,779,住宅,精装,7228,715411
清远,48.5,12.8,3,26,12.62,0.64,3,3,98657,637,住宅,毛坯,6549,317528
潮州,60.6,2.6,19,30,0.24,0.4,3,1,84076,818,别墅,精装,15431,935862
汕头,156.9,13.4,9,13,9.54,0.28,6,3,75866,999,住宅,精装,12088,1897141
中山,67.1,11.5,7,29,4.37,3.06,3,3,74805,497,住宅,简装,14185,951248
深圳,125.4,2.1,28,30,3.25,2.51,2,1,63859,1410,公寓,简装,76584,9601347
广州,102.4,6.1,15,18,18.08,4.96,0,2,80326,884,公寓,豪装,28693,2938862
阳江,154.8,4.0,19,25,8.47,2.72,3,2,66517,858,公寓,精装,8347,1292576
佛山,142.5,0.3,20,33,1.31,1.15,4,1,86575,724,住宅,精装,40032,5705125
揭阳,87.9,12.0,7,7,16.59,0.79,3,2,83126,627,公寓,精装,4369,383850
惠州,116.8,6.9,5,5,4.89,3.03,6,2,109852,321,公寓,毛坯,12071,1409643
茂名,58.6,3.5,29,29,4.13,0.2,1,3,97272,885,别墅,豪装,17643,1033719
深圳,59.8,11.0,16,22,5.65,0.25,3,1,46483,573,住宅,简装,55060,3291831
珠海,130.1,10.5,19,20,2.48,0.91,1,2,81104,1180,公寓,毛坯,28673,3729315
梅州,98.3,0.0,3,19,4.98,1.66,3,3,83385,633,住宅,豪装,10427,1025113
揭阳,53.5,1.4,13,18,21.57,11.76,4,3,75841,1096,别墅,精装,3887,207842
佛山,125.5,3.7,28,31,4.29,0.5,3,0,38345,555,住宅,简装,17657,2215289
佛山,143.0,6.3,29,30,0.24,3.09,2,4,115940,1354,住宅,毛坯,29833,4267121
韶关,41.1,0.6,5,29,4.22,1.02,9,7,61928,807,住宅,简装,9694,398865
江门,117.8,3.6,6,31,34.97,1.38,4,1,76381,490,住宅,豪装,5575,656589
深圳,109.7,12.3,17,33,8.02,0.79,3,2,84280,824,住宅,豪装,85542,9388100
云浮,102.3,2.7,16,27,6.67,0.32,4,1,142977,1557,住宅,精装,9641,986569
梅州,82.4,6.1,17,17,1.57,1.62,1,2,43712,929,住宅,简装,5563,458234
珠海,81.3,1.8,16,31,4.07,0.2,3,0,71755,256,住宅,毛坯,26768,2176194
揭阳,127.9,1.5,10,30,10.88,1.64,1,1,68958,767,住宅,豪装,8304,1062077
梅州,52.9,8.8,21,21,28.14,1.95,3,0,107094,755,住宅,豪装,3000,158637
东莞,77.0,16.3,14,24,1.84,1.33,3,4,71008,838,别墅,豪装,39332,3029843
茂名,57.6,1.4,17,22,6.54,4.61,2,2,85159,1070,别墅,豪装,15954,918213
河源,144.6,14.2,23,25,1.06,0.72,2,3,69304,847,公寓,毛坯,6638,960000
东莞,86.3,4.2,24,31,13.21,0.72,4,2,84545,1434,住宅,简装,26582,2293241
中山,50.4,2.7,6,16,5.44,0.77,3,0,77416,937,住宅,简装,23768,1196765
潮州,131.2,0.5,28,33,5.13,1.02,3,2,82716,946,住宅,简装,9406,1234179
东莞,76.0,3.4,28,32,0.47,2.79,3,1,84449,959,住宅,精装,26407,2006948
河源,91.9,17.1,12,33,1.95,2.73,2,4,91589,717,住宅,毛坯,5686,522760
江门,55.8,3.3,17,24,89.15,2.31,4,1,66318,364,公寓,精装,3000,167452
肇庆,68.0,0.6,13,17,10.77,1.02,5,3,85871,815,住宅,简装,10616,721438
深圳,76.5,1.3,13,28,60.72,0.02,2,1,83733,902,公寓,精装,3000,229429
汕尾,82.0,0.8,3,26,15.02,0.49,2,2,42769,604,住宅,毛坯,5475,448935
湛江,89.9,3.4,15,25,27.3,4.18,2,1,145344,794,公寓,简装,4238,381181
江门,98.8,8.2,21,28,3.56,3.18,3,1,74063,692,公寓,毛坯,7658,756460
惠州,90.0,3.7,19,33,15.88,2.47,4,3,86044,487,住宅,精装,14628,1315854
河源,91.2,4.0,26,32,0.59,0.77,4,4,73716,898,住宅,豪装,9025,823391
汕头,83.2,1.3,8,18,3.66,0.73,6,3,83037,967,住宅,简装,14932,1243108
